date,plot,ammonia_ppm,nitrate_ppm,gwc_g_g,extraction_wt_g,year,treatment,ammonia_mg_per_kg,nitrate_mg_per_kg
2023-05-18,01,0.100160740747486,1.01256319575372,0.1725041076556195,4.98,2023,Corn,0.60763439219894,6.142808224291921
2023-05-18,02,0.100160740747486,1.04701223685949,0.17354140693682074,5.02,2023,Sorghum,0.6035492570888743,6.309093293475535
2023-05-18,03,0.0786668210541103,0.9436651135422028,0.14465027348206658,5,2023,Sorghum,0.4598517928704859,5.516253085061446
2023-05-18,04,0.133595726937183,0.656589770994199,0.11913225488377288,5.05,2023,Soy,0.7508107641633253,3.690048169982077
2023-05-18,05,0.200465699316575,0.863284017628762,0.11898749031676473,5,2023,Sorghum,1.1377006405314931,4.899385696232353
2023-05-18,06,0.176583566323935,0.8862500450326029,0.14507383626788045,5,2023,Soy,1.0327416203586048,5.183196412914428
2023-05-18,07,0.114490020543071,0.208752236619311,0.1350463284851532,5.01,2023,Sorghum + Rye,0.6605064601197763,1.20431632554067
2023-05-18,08,0.102548954046751,1.28815552459981,0.14534542208386242,5.04,2023,Corn,0.5951824051954068,7.476307394101172
2023-05-18,09,0.181359992922463,0.449895524359635,0.17803753533169298,5.01,2023,Sorghum + Rye,1.101011327820458,2.7312532420943367
2023-05-18,10,0.295994231287136,1.21925744238829,0.231181301084646,5,2023,Soy,1.9249937059590472,7.92942109829283
2023-05-18,11,0.124042873740127,0.955148127244124,0.09706580165488872,5.01,2023,Corn,0.6855166378716756,5.278577584630771
2023-05-18,12,0.0953843141489584,0.323582373638513,0.1466757810229472,5,2023,Sorghum + Rye,0.5588984352471744,1.8960107216130395
2023-05-18,13,0.157477859929823,0.254684291426992,0.10367318648898359,5.03,2023,Sorghum + Rye,0.8732229461466061,1.4122376783393258
2023-05-18,14,41.45543760864275,17.38481095814558,0.12192082430573384,5.04,2023,Corn,234.18404249555928,98.20775133612013
2023-05-18,15,0.0834432476526384,0.8518010039268421,0.14084425859835473,5.03,2023,Sorghum,0.48271559049395873,4.927632087206895
2023-12-14,01,0.637334248411913,1.64544504779214,0.183753943217665,5.03,2023,Corn,3.8807725001983515,10.01922916894974
2023-12-14,02,0.102818016407572,0.8496326633416711,0.22549019607843096,5.02,2023,Sorghum,0.6611174084404371,5.463117886734734
2023-12-14,03,0.131925335972164,0.8496326633416711,0.193163751987281,5.04,2023,Sorghum,0.8110586864345446,5.223423892035255
2023-12-14,04,0.105464136367989,1.24753885556691,0.156515034695451,5.02,2023,Soy,0.6226783217645039,7.3656830432851885
2023-12-14,05,0.110756376288824,1.17519227516232,0.160092807424594,5.01,2023,Sorghum,0.6580209495440494,6.982001061343611
2023-12-14,06,0.0975257764867365,1.46457859678067,0.191269841269841,5,2023,Soy,0.6029562236177034,9.054803885886376
2023-12-14,07,0.089587416605484,0.759199437835936,0.163439194422928,5.02,2023,Sorghum + Rye,0.5333174470528989,4.5195443884009965
2023-12-14,08,0.317153733201392,1.04858575945429,0.2016,5,2023,Corn,1.9861831989065133,6.566794585760835
2023-12-14,09,0.129279216011747,0.7230261476336419,0.211460855528652,5,2023,Sorghum + Rye,0.8197387340765329,4.584592614729182
2023-12-14,10,0.118694736170077,1.51883853208411,0.24895920066611096,5,2023,Soy,0.7902016526622081,10.111558076679682
2023-12-14,11,0.121340856130494,0.7411127927347889,0.125842696629213,5.01,2023,Corn,0.6926594238011099,4.230551657186666
2023-12-14,12,0.089587416605484,0.433639826015289,0.15095785440613,5,2023,Sorghum + Rye,0.5275793261288655,2.553700238943827
2023-12-14,13,0.13986369585341701,0.668766212330201,0.138846737481032,5.03,2023,Sorghum + Rye,0.8072286594740091,3.85980972250727
2023-12-14,14,0.0816490567242313,0.777286082937083,0.135400907715582,5,2023,Corn,0.4721787094900862,4.495066498874992
2023-12-14,15,0.113402496249242,1.01241246925199,0.157407407407407,5.02,2023,Sorghum,0.6702568623811419,5.983787196226899
2024-06-07,01,0.0483420611884532,0.0266792551722341,0.19047619047619097,5.02,2024,Soy,0.29739374412863784,0.16412712638180119
2024-06-07,02,0.00722317794972421,0.024525,0.21753246753246697,4.99,2024,Sorghum,0.04624890462491487,0.15702982728943352
2024-06-07,03,0.0188282270820438,1.22989497580026,0.193471337579618,5.02,2024,Sorghum,0.11625882066525121,7.594243409408403
2024-06-07,04,0.480090335195107,5.26492143285586,0.163565891472868,5.01,2024,Corn,2.864135179139811,31.409602705543772
2024-06-07,05,0.020072828961827,0.0388329493199919,0.16576297443842,5,2024,Sorghum,0.12030650970157226,0.23274529977766742
2024-06-07,06,0.652275658757285,7.89011936877156,0.185185185185185,5.03,2024,Corn,3.978728263701133,48.12787433508769
2024-06-07,07,0.00722317794972421,1.40004669386887,0.195686900958466,5.03,2024,Sorghum + Rye,0.0446349647549396,8.651459962784486
2024-06-07,08,0.038062340378771,1.46081516460766,0.18968253968254,4.98,2024,Soy,0.23580388585316525,9.050044976210682
2024-06-07,09,0.0226427591642476,1.3635856114256,0.24398340248962697,5.01,2024,Sorghum + Rye,0.14945150748403505,9.000224916620375
2024-06-07,10,4.99996359288067,13.52468272773532,0.241749174917492,5.01,2024,Corn,32.904571024281005,89.00542476535077
2024-06-07,11,0.0149329685569859,1.60665949438075,0.147666411629686,5,2024,Soy,0.08760049328537058,9.425062653301792
2024-06-07,12,0.0166677412144969,1.18128019920923,0.174354964816263,4.96,2024,Sorghum + Rye,0.10175170785479642,7.211371725645151
2024-06-07,13,0.0123630383545654,1.50942994119869,0.155145929339478,5.03,2024,Sorghum + Rye,0.07273032684639506,8.879802021691193
2024-06-07,14,0.061191712200556,1.57019841193748,0.148854961832061,4.98,2024,Soy,0.3609106514971471,9.261079833405814
2024-06-07,15,0.0620379444329826,1.94696293051797,0.172386895475819,5,2024,Sorghum,0.3748003994490278,11.76251874139509
2024-07-17,01,0.0941064174533587,1.62435224533604,0.201407211961302,5,2024,Soy,0.5892015233726261,10.170090875259243
2024-07-17,02,0.0890854741124218,1.03740583062448,0.122031122031122,5,2024,Sorghum,0.5073384509853872,5.90798749623363
2024-07-17,03,0.0890854741124218,0.333070132970616,0.09003984063745028,5.02,2024,Sorghum,0.4875518504401368,1.8228444230003065
2024-07-17,04,0.119211134158043,1.52373285995691,0.0694227769110763,5.05,2024,Corn,0.6341807158532493,8.105970996094205
2024-07-17,05,0.0915959457828903,0.685237981797549,0.0760784313725489,5,2024,Sorghum,0.49569113273847676,3.708312507605581
2024-07-17,06,0.0765331157600795,1.25541449894592,0.0901116427432218,5.01,2024,Corn,0.4197237740257421,6.884958311589721
2024-07-17,07,0.0715121724191426,0.836167059866235,0.08650793650793649,5.02,2024,Sorghum + Rye,0.38986251885645806,4.558527382353541
2024-07-17,08,0.0765331157600795,1.35603388432504,0.08695652173913061,5.04,2024,Soy,0.4157836504350503,7.3669641296948045
2024-07-17,09,0.0740226440896111,1.15479511356679,0.123152709359606,5.05,2024,Sorghum + Rye,0.41791625181307857,6.519729893593792
2024-07-17,10,0.0690017007486742,0.869706854992609,0.15138772077376,5.02,2024,Corn,0.40493636055467774,5.103873162386199
2024-07-17,11,0.0865750024419534,1.35603388432504,0.0476190476190477,5.03,2024,Soy,0.4518079153282857,7.076717587183359
2024-07-17,12,0.0664912290782057,0.567848698855238,0.0788643533123028,4.95,2024,Sorghum + Rye,0.36456551158487627,3.113464050385887
2024-07-17,13,0.0966168891238272,0.886476752555797,0.0587326120556414,5.03,2024,Sorghum + Rye,0.5101666459626166,4.680867658609921
2024-07-17,14,0.0715121724191426,1.62435224533604,0.0426829268292683,5,2024,Soy,0.373503066138197,8.483877969271038
2024-07-17,15,0.0715121724191426,1.95975019659978,0.054826254826254896,5.01,2024,Sorghum,0.3775466358247136,10.346449684767373
2024-11-26,01,0.168045021396171,0.756272617067294,0.11437908496732,4.97,2024,Soy,0.9544680731478968,4.295504035701142
2024-11-26,02,0.144735578797381,0.918814692708693,0.129111842105263,4.97,2024,Sorghum,0.8359812501905449,5.307000959172269
2024-11-26,03,0.118836198132058,0.723764201939013,0.101926163723917,5.02,2024,Sorghum,0.658981157018683,4.01348224446277
2024-11-26,04,0.188764525928429,0.707509994374873,0.0870253164556962,4.97,2024,Corn,1.0400285629441044,3.898140284034535
2024-11-26,05,0.199124278194557,0.609984748990034,0.074015748031496,4.97,2024,Sorghum,1.0816935341089369,3.3135917170426605
2024-11-26,06,0.173224897529235,0.886306277580413,0.113728675873274,5.02,2024,Corn,0.973374370795865,4.980276089507639
2024-11-26,07,0.214663906593751,1.04884835322181,0.0945512820512822,5.04,2024,Sorghum + Rye,1.1759927457727617,5.745903325698919
2024-11-26,08,0.144735578797381,0.577476333861754,0.103142626913779,4.96,2024,Soy,0.813411393970949,3.2454067867397245
2024-11-26,09,0.180994711728832,0.902560485144553,0.133553173948887,5,2024,Sorghum + Rye,1.0444652013657145,5.208400896671469
2024-11-26,10,0.180994711728832,0.918814692708693,0.282629107981221,5.03,2024,Corn,1.2539902469424693,6.365847114529827
2024-11-26,11,0.173224897529235,0.723764201939013,0.0671350507416082,5.04,2024,Soy,0.9210877570853676,3.848467252290778
2024-11-26,12,0.180994711728832,0.788781032195573,0.182525951557093,4.95,2024,Sorghum + Rye,1.1182186241169882,4.873234317877623
2024-11-26,13,0.165455083329639,0.642493164118314,0.061967467079783,4.98,2024,Sorghum + Rye,0.8854680181442697,3.4384386218563074
2024-11-26,14,0.170634959462703,0.577476333861754,0.160744500846024,4.95,2024,Soy,1.0268538310774837,3.475160000328861
2024-11-26,15,0.10847644586593,0.366171635527934,0.178756476683938,4.99,2024,Sorghum,0.6617637183554648,2.2338407305744385
